,city,latitude,temperature,humidity,cloudiness,max windspeed
103,coahuayana,18.62,75.72,41,0,2.15
173,jamestown,-33.21,88.86,33,0,10.54
118,tasiilaq,65.61,35.6,80,92,9.17
375,cabo san lucas,22.89,65.26,68,90,6.93
309,cape town,-33.93,62.6,67,0,2.24
170,ormara,25.21,66.31,93,0,4.16
513,punta arenas,-53.16,48.2,70,90,10.29
509,bucarasica,8.04,82.4,61,20,4.7
582,albany,42.65,25.3,61,40,5.82
110,gerede,40.8,27.39,100,88,2.15
316,rikitea,-23.12,76.89,100,76,14.23
249,mildura,-34.18,87.8,27,0,9.17
255,rikitea,-23.12,76.89,100,76,14.23
144,port alfred,-33.59,66.04,83,92,11.88
99,albany,42.65,25.3,61,40,5.82
493,ust-tsilma,65.44,24.37,83,88,5.95
175,wana,32.31,16.14,76,8,0.92
1,hambantota,6.12,71.6,94,20,8.05
289,jinsha,24.49,57.2,93,90,11.18
232,sucre,-19.05,58.08,75,24,1.7
153,aran,46.5,30.11,100,40,6.93
422,cherskiy,68.75,-17.89,77,56,6.29
476,houma,35.63,4.57,73,12,2.37
247,busselton,-33.64,64.92,100,48,17.58
14,mataura,-46.19,58.62,69,92,23.96
337,mataura,-46.19,58.62,69,92,23.96
77,half moon bay,37.46,53.56,49,1,4.7
317,cabra,37.47,31.95,85,0,2.15
301,barrow,-38.31,66.31,75,36,24.07
231,hilo,19.71,78.98,60,20,8.05
83,bubaque,11.28,79.86,98,0,3.6
542,pisco,-13.71,71.6,30,20,20.8
85,hithadhoo,-0.6,80.67,100,64,8.3
63,jamestown,-33.21,88.86,33,0,10.54
284,vestmannaeyjar,63.44,45.75,95,92,26.08
190,arraial do cabo,-22.97,75.9,98,36,1.81
154,laguna,27.52,59.0,18,75,12.75
567,jalu,29.03,41.29,78,0,5.39
65,east london,-33.02,67.62,100,92,12.88
82,lorengau,-2.02,84.54,98,80,16.02
15,kruisfontein,-34.0,64.47,81,68,14.67
507,tasiilaq,65.61,35.6,80,92,9.17
452,khani,41.96,50.0,39,40,25.28
228,khatanga,71.98,4.26,79,56,15.23
577,new norfolk,-42.78,71.6,53,20,10.29
206,east london,-33.02,67.62,100,92,12.88
358,porto novo,-23.68,73.4,88,75,2.24
11,severo-kurilsk,50.68,26.76,100,64,13.22
224,cape town,-33.93,62.6,67,0,2.24
585,butaritari,3.07,81.16,100,92,25.75
158,staden,50.97,40.1,75,75,6.93
72,mackay,53.65,41.04,74,75,3.36
293,busselton,-33.64,64.92,100,48,17.58
189,faanui,-16.48,84.27,100,48,9.31
80,kutum,14.2,53.4,39,20,9.08
292,takaka,-40.86,72.79,67,20,10.98
149,busselton,-33.64,64.92,100,48,17.58
250,bhadra,29.1,46.38,86,0,2.82
142,ushuaia,-54.81,42.8,81,90,11.41
254,khatanga,71.98,4.26,79,56,15.23
328,mataura,-46.19,58.62,69,92,23.96
38,mataura,-46.19,58.62,69,92,23.96
30,butaritari,3.07,81.16,100,92,25.75
484,moree,-29.46,86.0,33,0,16.11
554,faya,18.39,52.66,71,0,4.7
520,rikitea,-23.12,76.89,100,76,14.23
326,rikitea,-23.12,76.89,100,76,14.23
112,laguna,27.52,59.0,18,75,12.75
58,katsuura,33.93,43.61,48,20,6.93
347,anloga,5.79,80.6,83,20,3.36
426,balud,12.22,74.91,100,92,7.4
50,mana,43.52,28.69,85,90,9.17
560,dongsheng,29.72,16.77,67,12,2.82
105,saskylakh,71.97,-3.08,62,8,11.21
282,albany,42.65,25.3,61,40,5.82
164,ribeira grande,38.52,60.8,77,40,17.22
521,dingle,11.0,78.15,81,8,12.66
86,padang,-0.92,75.2,100,40,2.24
87,allapalli,19.43,51.19,84,0,2.82
451,port blair,11.67,82.11,100,0,12.1
356,mehamn,71.03,24.19,84,68,10.54
21,hermanus,-34.42,59.16,74,0,9.75
388,ushuaia,-54.81,42.8,81,90,11.41
66,lakes entrance,-37.88,71.62,86,24,6.73
394,mahebourg,-20.41,77.0,88,20,5.82
416,marawi,8.0,73.42,84,64,2.71
561,albany,42.65,25.3,61,40,5.82
166,port elizabeth,39.31,41.34,76,90,6.93
420,yumen,40.29,-4.3,66,44,5.73
457,saint-philippe,45.36,9.3,78,40,3.04
274,georgetown,6.8,76.84,83,75,9.17
73,port alfred,-33.59,66.04,83,92,11.88
541,anshun,26.25,32.07,99,92,3.6
200,pevek,69.7,-12.94,99,68,4.61
511,lompoc,34.64,55.89,44,1,9.17
165,geraldton,49.72,14.0,92,75,4.7
202,upernavik,72.79,14.25,100,80,30.78
283,vaini,15.34,51.8,81,8,3.94
285,provideniya,64.42,-5.81,70,0,2.24
350,ribeira grande,38.52,60.8,77,40,17.22
500,lompoc,34.64,55.89,44,1,9.17
590,katherine,-14.47,87.8,66,40,13.87
344,albany,42.65,25.3,61,40,5.82
399,hainburg,50.07,29.55,79,75,4.7
528,uvalde,29.21,41.83,95,90,8.05
131,hillsborough,37.57,53.56,46,20,4.7
386,dno,57.83,30.9,99,92,10.98
297,cape town,-33.93,62.6,67,0,2.24
525,yerbogachen,61.28,-12.04,76,64,4.16
221,alice springs,-23.7,102.2,10,24,5.82
179,puerto ayora,-0.74,82.4,65,20,14.99
98,staryy krym,45.03,34.95,100,88,5.28
502,hilo,19.71,78.98,60,20,8.05
129,kapaa,22.08,80.06,64,75,14.99
106,iralaya,15.0,76.21,99,20,4.72
571,roald,62.58,39.97,93,75,20.8
122,punta arenas,-53.16,48.2,70,90,10.29
444,rikitea,-23.12,76.89,100,76,14.23
194,norman wells,65.28,23.0,92,90,19.46
538,tuktoyaktuk,69.44,8.6,84,90,8.05
262,esperance,10.24,75.2,88,20,6.85
68,omboue,-1.57,80.71,100,48,5.5
75,manica,-18.94,67.62,100,92,2.93
263,ushuaia,-54.81,42.8,81,90,11.41
389,norman wells,65.28,23.0,92,90,19.46
29,salalah,17.01,71.6,73,20,5.82
574,atuona,-9.8,81.57,99,68,15.68
100,ngaoundere,7.32,58.35,47,8,6.73
28,ushuaia,-54.81,42.8,81,90,11.41
462,coos bay,43.37,48.02,82,75,5.82
313,dikson,73.51,13.08,95,64,23.73
371,great falls,47.5,39.29,64,75,17.22
89,arlit,18.74,48.72,67,0,3.83
185,mataura,-46.19,58.62,69,92,23.96
4,santa maria del oro,25.95,56.28,30,12,18.03
119,cape town,-33.93,62.6,67,0,2.24
180,avarua,-21.21,84.2,83,90,14.99
360,carnarvon,-30.97,56.77,66,0,14.56
198,hermanus,-34.42,59.16,74,0,9.75
587,bethel,60.79,8.42,86,90,4.7
485,kapaa,22.08,80.06,64,75,14.99
218,koscierzyna,54.12,30.2,74,75,21.92
215,hami,42.84,-4.93,51,44,3.27
101,cidreira,-30.17,82.56,68,24,11.99
434,tasiilaq,65.61,35.6,80,92,9.17
91,jamestown,-33.21,88.86,33,0,10.54
453,cherskiy,68.75,-17.89,77,56,6.29
237,moose factory,51.26,15.8,78,90,10.29
51,ilulissat,69.22,17.6,78,75,4.7
576,saint-philippe,45.36,9.3,78,40,3.04
19,soyo,-6.13,76.62,96,88,2.71
31,zaozerne,51.37,27.75,84,88,22.5
553,gravdal,59.79,32.86,80,12,9.17
5,yellowknife,62.45,15.8,92,90,11.41
425,hobart,-42.88,71.6,53,20,10.29
411,pocone,-16.26,81.07,82,0,4.83
139,saint george,39.45,38.21,64,75,6.93
545,lavrentiya,65.58,-4.12,100,0,11.65
290,tuktoyaktuk,69.44,8.6,84,90,8.05
242,qaanaaq,77.48,2.32,84,64,7.4
12,kodiak,39.95,29.62,39,1,8.05
320,punta arenas,-53.16,48.2,70,90,10.29
115,pindiga,9.98,63.07,34,12,9.19
71,cidreira,-30.17,82.56,68,24,11.99
235,terme,41.21,46.4,81,75,0.92
205,guiratinga,-16.35,78.19,77,32,3.83
20,busselton,-33.64,64.92,100,48,17.58
393,atuona,-9.8,81.57,99,68,15.68
441,touros,-5.2,80.6,78,0,6.93
517,sarkand,45.41,8.17,83,44,2.71
46,mnogovershinnyy,53.94,10.56,65,32,7.74
424,la ronge,55.1,24.8,100,75,3.36
431,winneba,5.35,82.4,83,0,6.93
470,salalah,17.01,71.6,73,20,5.82
527,beberibe,-4.18,82.4,78,0,13.87
437,port elizabeth,39.31,41.34,76,90,6.93
591,brae,60.4,43.81,81,80,9.17
397,cherskiy,68.75,-17.89,77,56,6.29
145,hobart,-42.88,71.6,53,20,10.29
123,chokurdakh,70.62,-0.38,76,64,8.97
177,barrow,-38.31,66.31,75,36,24.07
56,leczyca,52.06,28.4,79,75,11.41
506,faanui,-16.48,84.27,100,48,9.31
533,rio tercero,-32.17,69.24,84,92,23.85
336,hermanus,-34.42,59.16,74,0,9.75
348,hithadhoo,-0.6,80.67,100,64,8.3
465,jamestown,-33.21,88.86,33,0,10.54
